,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G,Classe
715,Acre,860,Sim,Não,Não,Sim,média_baixa
717,Acre,1100,Sim,Sim,Não,Não,média_baixa
718,Acre,3333,Sim,Não,Sim,Não,alta
720,Acre,0,Sim,Sim,Sim,Não,baixa
721,Acre,600,Sim,Sim,Não,Não,média_baixa
722,Acre,975,Sim,Sim,Sim,Sim,média_baixa
724,Acre,4650,Sim,Sim,Sim,Não,alta
726,Acre,7980,Sim,Sim,Sim,Não,alta
730,Acre,400,Sim,Sim,Sim,Sim,baixa
733,Acre,1300,Sim,Sim,Sim,Não,média_baixa
738,Acre,500,Sim,Não,Sim,Sim,baixa
740,Acre,2125,Sim,Não,Sim,Sim,média
744,Acre,451,Sim,Não,Sim,Sim,baixa
745,Acre,600,Sim,Sim,Não,Não,média_baixa
749,Acre,2066,Sim,Sim,Sim,Sim,média
751,Acre,929,Sim,Não,Sim,Sim,média_baixa
753,Acre,4028,Sim,Sim,Sim,Não,alta
754,Acre,3500,Sim,Não,Sim,Não,alta
760,Acre,3650,Sim,Não,Não,Não,alta
761,Acre,732,Sim,Sim,Sim,Não,média_baixa
764,Acre,3450,Sim,Sim,Sim,Não,alta
765,Acre,362,Sim,Sim,Sim,Não,baixa
771,Acre,1300,Sim,Sim,Sim,Sim,média_baixa
775,Acre,1534,Sim,Sim,Sim,Não,média
778,Acre,262,Sim,Sim,Sim,Não,baixa
781,Acre,733,Sim,Sim,Sim,Sim,média_baixa
782,Acre,1400,Sim,Não,Sim,Sim,média_baixa
783,Acre,1338,Sim,Sim,Sim,Não,média_baixa
784,Acre,900,Sim,Não,Sim,Sim,média_baixa
788,Acre,592,Sim,Sim,Sim,Não,média_baixa
789,Acre,1050,Sim,Não,Sim,Sim,média_baixa
790,Acre,397,Sim,Não,Sim,Sim,baixa
796,Acre,2216,Sim,Sim,Sim,Não,média
797,Acre,2780,Sim,Sim,Sim,Não,média
798,Acre,929,Sim,Sim,Sim,Não,média_baixa
799,Acre,964,Sim,Sim,Sim,Não,média_baixa
800,Acre,5800,Sim,Sim,Sim,Sim,alta
805,Acre,1233,Sim,Sim,Não,Não,média_baixa
806,Acre,1454,Sim,Sim,Sim,Não,média_baixa
807,Acre,394,Sim,Não,Sim,Sim,baixa
808,Acre,290,Sim,Não,Sim,Sim,baixa
811,Acre,1350,Sim,Sim,Sim,Não,média_baixa
815,Acre,528,Sim,Não,Sim,Não,média_baixa
818,Acre,275,Sim,Sim,Sim,Não,baixa
820,Acre,400,Sim,Não,Sim,Sim,baixa
822,Acre,562,Sim,Sim,Sim,Não,média_baixa
826,Acre,788,Sim,Não,Sim,Sim,média_baixa
828,Acre,2935,Sim,Sim,Sim,Não,média
830,Acre,929,Sim,Não,Sim,Não,média_baixa
831,Acre,276,Sim,Não,Sim,Sim,baixa
836,Acre,1250,Sim,Sim,Sim,Não,média_baixa
839,Acre,357,Sim,Não,Sim,Não,baixa
846,Acre,732,Sim,Não,Sim,Sim,média_baixa
849,Acre,1288,Sim,Não,Sim,Sim,média_baixa
853,Acre,788,Sim,Não,Sim,Sim,média_baixa
857,Acre,1325,Sim,Não,Sim,Sim,média_baixa
858,Acre,550,Sim,Sim,Sim,Sim,média_baixa
859,Acre,622,Sim,Não,Sim,Sim,média_baixa
861,Acre,164,Sim,Não,Sim,Sim,baixa
862,Acre,583,Sim,Sim,Sim,Sim,média_baixa
866,Acre,200,Sim,Não,Sim,Sim,baixa
867,Acre,273,Sim,Não,Sim,Sim,baixa
869,Acre,342,Sim,Não,Sim,Sim,baixa
873,Acre,300,Sim,Sim,Sim,Sim,baixa
874,Acre,50,Sim,Não,Sim,Sim,baixa
876,Acre,500,Sim,Sim,Não,Não,baixa
878,Acre,750,Sim,Sim,Sim,Sim,média_baixa
883,Acre,200,Sim,Não,Sim,Sim,baixa
