,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G
93587,São Paulo,3300,Sim,Não,Não,Não
93588,São Paulo,3800,Sim,Sim,Não,Não
93589,São Paulo,2580,Sim,Não,Não,Sim
93591,São Paulo,5566,Sim,Não,Não,Não
93593,São Paulo,2450,Sim,Não,Sim,Sim
93594,São Paulo,1878,Sim,Não,Sim,Sim
93595,São Paulo,2900,Sim,Não,Não,Não
93596,São Paulo,5875,Sim,Não,Não,Não
93597,São Paulo,1900,Sim,Não,Sim,Sim
93598,São Paulo,740,Sim,Não,Sim,Não
93599,São Paulo,883,Sim,Não,Não,Não
93600,São Paulo,1000,Sim,Não,Não,Sim
93601,São Paulo,1700,Sim,Não,Não,Não
93604,São Paulo,795,Sim,Não,Sim,Não
93605,São Paulo,6000,Sim,Não,Não,Não
93606,São Paulo,0,Sim,Não,Sim,Sim
93607,São Paulo,14500,Sim,Não,Não,Não
93608,São Paulo,933,Sim,Não,Não,Não
93611,São Paulo,2087,Sim,Não,Não,Não
93613,São Paulo,1500,Sim,Não,Não,Não
93614,São Paulo,1100,Sim,Não,Não,Não
93615,São Paulo,3000,Sim,Não,Não,Não
93616,São Paulo,364,Sim,Sim,Não,Não
93617,São Paulo,1825,Sim,Não,Não,Não
93618,São Paulo,1916,Sim,Não,Não,Sim
93619,São Paulo,597,Sim,Não,Sim,Sim
93620,São Paulo,1066,Sim,Não,Não,Não
93623,São Paulo,8788,Sim,Não,Não,Sim
93624,São Paulo,4750,Sim,Não,Não,Não
93626,São Paulo,600,Sim,Não,Não,Não
93629,São Paulo,720,Sim,Não,Não,Não
93631,São Paulo,262,Sim,Sim,Não,Não
93634,São Paulo,2833,Sim,Não,Não,Sim
93636,São Paulo,1117,Sim,Não,Não,Não
93638,São Paulo,1000,Sim,Sim,Não,Não
93639,São Paulo,472,Sim,Não,Não,Sim
93640,São Paulo,537,Sim,Não,Não,Não
93641,São Paulo,500,Sim,Não,Não,Sim
93642,São Paulo,3500,Sim,Não,Não,Não
93643,São Paulo,1065,Sim,Não,Não,Não
93651,São Paulo,966,Sim,Não,Não,Sim
93652,São Paulo,275,Sim,Não,Não,Não
93654,São Paulo,1250,Sim,Sim,Não,Não
93655,São Paulo,766,Sim,Sim,Não,Não
93656,São Paulo,1450,Sim,Não,Não,Não
93657,São Paulo,733,Sim,Não,Não,Não
93659,São Paulo,2360,Sim,Não,Não,Não
93660,São Paulo,10500,Sim,Não,Não,Não
93664,São Paulo,788,Sim,Sim,Não,Não
93665,São Paulo,1844,Sim,Não,Não,Sim
93666,São Paulo,1750,Sim,Não,Não,Não
93671,São Paulo,2250,Sim,Não,Não,Sim
93673,São Paulo,2275,Sim,Não,Não,Sim
93674,São Paulo,1358,Sim,Não,Não,Não
93675,São Paulo,2250,Sim,Não,Não,Não
93676,São Paulo,4757,Sim,Não,Não,Não
93677,São Paulo,8000,Sim,Não,Não,Não
93678,São Paulo,1266,Sim,Não,Não,Sim
93679,São Paulo,2475,Sim,Não,Não,Não
93680,São Paulo,1150,Sim,Não,Não,Não
93682,São Paulo,2887,Sim,Não,Não,Sim
93683,São Paulo,1250,Sim,Não,Não,Não
93684,São Paulo,4250,Sim,Não,Não,Sim
93686,São Paulo,1600,Sim,Não,Sim,Sim
93687,São Paulo,1375,Sim,Não,Não,Sim
93688,São Paulo,2656,Sim,Não,Não,Sim
93689,São Paulo,1500,Sim,Sim,Não,Sim
93690,São Paulo,1300,Sim,Não,Não,Não
93691,São Paulo,400,Sim,Sim,Não,Não
93692,São Paulo,875,Sim,Não,Não,Sim
93693,São Paulo,966,Sim,Não,Não,Não
93695,São Paulo,2022,Sim,Não,Sim,Não
93700,São Paulo,2000,Sim,Não,Sim,Sim
93701,São Paulo,1025,Sim,Não,Não,Não
93703,São Paulo,736,Sim,Não,Não,Sim
93704,São Paulo,777,Sim,Não,Não,Sim
93705,São Paulo,1497,Sim,Não,Sim,Sim
93706,São Paulo,1100,Sim,Não,Não,Sim
93707,São Paulo,1133,Sim,Não,Não,Sim
93708,São Paulo,895,Sim,Não,Não,Sim
93709,São Paulo,1362,Sim,Não,Não,Sim
93712,São Paulo,1096,Sim,Não,Não,Não
93713,São Paulo,1077,Sim,Não,Não,Sim
93715,São Paulo,933,Sim,Sim,Não,Não
93716,São Paulo,1266,Sim,Não,Não,Sim
93719,São Paulo,825,Sim,Não,Não,Sim
93720,São Paulo,666,Sim,Não,Não,Não
93721,São Paulo,480,Sim,Sim,Não,Não
93728,São Paulo,1650,Sim,Não,Não,Não
93730,São Paulo,2000,Sim,Sim,Não,Não
93731,São Paulo,2750,Sim,Não,Não,Sim
93732,São Paulo,320,Sim,Sim,Não,Não
93734,São Paulo,2233,Sim,Não,Não,Não
93735,São Paulo,1116,Sim,Não,Não,Não
93736,São Paulo,320,Sim,Não,Não,Não
93740,São Paulo,1600,Sim,Não,Não,Não
93741,São Paulo,437,Sim,Não,Não,Não
93742,São Paulo,740,Sim,Não,Não,Não
93743,São Paulo,2100,Sim,Não,Não,Não
93750,São Paulo,500,Sim,Não,Não,Não
93754,São Paulo,687,Sim,Sim,Não,Não
93765,São Paulo,4000,Sim,Não,Não,Não
93766,São Paulo,1750,Sim,Sim,Não,Não
93774,São Paulo,1662,Sim,Não,Não,Não
93776,São Paulo,1225,Sim,Não,Não,Não
93777,São Paulo,1550,Sim,Sim,Não,Não
93781,São Paulo,1225,Sim,Não,Não,Não
93782,São Paulo,996,Sim,Não,Não,Não
