,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G
102699,São Paulo,2125,Sim,Não,Não,Não
102700,São Paulo,6700,Sim,Não,Sim,Sim
102701,São Paulo,2365,Sim,Não,Não,Não
102702,São Paulo,5233,Sim,Não,Não,Não
102704,São Paulo,9000,Sim,Não,Não,Não
102705,São Paulo,6950,Sim,Não,Não,Não
102707,São Paulo,3069,Sim,Não,Não,Não
102708,São Paulo,10000,Sim,Não,Não,Não
102709,São Paulo,10666,Sim,Não,Não,Não
102710,São Paulo,1666,Sim,Não,Não,Não
102711,São Paulo,1135,Sim,Não,Não,Não
102713,São Paulo,7500,Sim,Não,Não,Sim
102714,São Paulo,2000,Sim,Não,Não,Não
102715,São Paulo,1600,Sim,Não,Não,Não
102718,São Paulo,2650,Sim,Não,Não,Não
102720,São Paulo,2000,Sim,Não,Não,Não
102722,São Paulo,600,Sim,Não,Não,Não
102723,São Paulo,2900,Sim,Sim,Não,Não
102724,São Paulo,930,Sim,Não,Não,Não
102729,São Paulo,2133,Sim,Não,Não,Não
102732,São Paulo,3416,Sim,Não,Não,Não
102734,São Paulo,4592,Sim,Não,Não,Não
102735,São Paulo,4666,Sim,Não,Não,Sim
102737,São Paulo,500,Sim,Não,Não,Não
102738,São Paulo,1760,Sim,Sim,Não,Sim
102739,São Paulo,1533,Sim,Não,Não,Sim
102741,São Paulo,6700,Sim,Não,Não,Não
102743,São Paulo,835,Sim,Não,Não,Não
102746,São Paulo,4366,Sim,Não,Não,Sim
102747,São Paulo,2002,Sim,Não,Não,Não
102748,São Paulo,3500,Sim,Não,Não,Sim
102749,São Paulo,1038,Sim,Não,Não,Não
102750,São Paulo,2770,Sim,Não,Sim,Sim
102751,São Paulo,798,Sim,Não,Não,Sim
102752,São Paulo,1400,Sim,Não,Não,Não
102753,São Paulo,2388,Sim,Não,Sim,Sim
102754,São Paulo,1750,Sim,Não,Não,Não
102755,São Paulo,3425,Sim,Não,Não,Não
102756,São Paulo,593,Sim,Sim,Não,Não
102757,São Paulo,902,Sim,Não,Não,Não
102758,São Paulo,625,Sim,Não,Não,Não
102759,São Paulo,1285,Sim,Não,Não,Não
102761,São Paulo,892,Sim,Sim,Não,Não
102762,São Paulo,5000,Sim,Não,Não,Sim
102763,São Paulo,750,Sim,Não,Não,Sim
102764,São Paulo,815,Sim,Não,Não,Não
102765,São Paulo,2016,Sim,Não,Não,Sim
102766,São Paulo,700,Sim,Não,Não,Não
102767,São Paulo,850,Sim,Não,Não,Sim
102768,São Paulo,1080,Sim,Não,Não,Sim
102769,São Paulo,1164,Sim,Não,Não,Sim
102770,São Paulo,965,Sim,Não,Não,Sim
102773,São Paulo,494,Sim,Não,Sim,Sim
102774,São Paulo,1666,Sim,Não,Não,Sim
102775,São Paulo,2016,Sim,Não,Não,Não
102778,São Paulo,1829,Sim,Não,Não,Não
102781,São Paulo,2100,Sim,Sim,Não,Não
102782,São Paulo,833,Sim,Não,Sim,Sim
102784,São Paulo,775,Sim,Não,Não,Sim
102785,São Paulo,3100,Sim,Não,Não,Não
102786,São Paulo,2750,Sim,Não,Não,Sim
102787,São Paulo,598,Sim,Sim,Não,Não
102788,São Paulo,666,Sim,Sim,Não,Não
102791,São Paulo,1100,Sim,Sim,Não,Não
102792,São Paulo,1125,Sim,Não,Não,Sim
102793,São Paulo,1200,Sim,Sim,Não,Não
102794,São Paulo,555,Sim,Sim,Não,Não
102795,São Paulo,1250,Sim,Sim,Não,Não
102796,São Paulo,337,Sim,Não,Não,Não
102797,São Paulo,1825,Sim,Sim,Não,Não
102799,São Paulo,1466,Sim,Não,Não,Não
102801,São Paulo,1300,Sim,Não,Sim,Sim
102803,São Paulo,1167,Sim,Não,Sim,Sim
102804,São Paulo,725,Sim,Não,Sim,Sim
102805,São Paulo,737,Sim,Não,Não,Não
102806,São Paulo,1100,Sim,Não,Não,Não
102807,São Paulo,600,Sim,Não,Sim,Sim
102808,São Paulo,550,Sim,Sim,Não,Não
102810,São Paulo,3000,Sim,Não,Sim,Sim
102812,São Paulo,1166,Sim,Não,Não,Não
102813,São Paulo,1900,Sim,Não,Sim,Sim
102814,São Paulo,1975,Sim,Não,Não,Não
102815,São Paulo,3450,Sim,Não,Não,Não
102816,São Paulo,6510,Sim,Não,Não,Não
102818,São Paulo,746,Sim,Não,Sim,Sim
102820,São Paulo,1273,Sim,Não,Sim,Sim
102823,São Paulo,4000,Sim,Não,Não,Não
102824,São Paulo,2756,Sim,Não,Sim,Sim
102826,São Paulo,3233,Sim,Não,Não,Não
102828,São Paulo,1500,Sim,Não,Não,Não
102830,São Paulo,4444,Sim,Não,Não,Não
102835,São Paulo,2500,Sim,Não,Não,Não
102836,São Paulo,1894,Sim,Não,Não,Não
102837,São Paulo,7000,Sim,Não,Não,Não
102839,São Paulo,3333,Sim,Não,Não,Não
102840,São Paulo,9333,Sim,Não,Não,Não
102841,São Paulo,1075,Sim,Não,Não,Não
102842,São Paulo,1270,Sim,Não,Sim,Sim
102843,São Paulo,8800,Sim,Não,Não,Não
102844,São Paulo,5300,Sim,Não,Não,Sim
102845,São Paulo,30000,Sim,Não,Não,Não
102846,São Paulo,5000,Sim,Não,Não,Não
102847,São Paulo,750,Sim,Não,Não,Sim
102848,São Paulo,6666,Sim,Não,Não,Não
102849,São Paulo,2700,Sim,Não,Não,Não
102850,São Paulo,5000,Sim,Não,Não,Não
102851,São Paulo,3475,Sim,Não,Não,Sim
102852,São Paulo,2233,Sim,Não,Não,Não
102854,São Paulo,5566,Sim,Não,Não,Não
102855,São Paulo,3596,Sim,Não,Não,Sim
102859,São Paulo,2625,Sim,Não,Não,Não
102860,São Paulo,2529,Sim,Não,Não,Não
102861,São Paulo,2300,Sim,Sim,Não,Não
102863,São Paulo,2800,Sim,Sim,Não,Não
102864,São Paulo,10500,Sim,Não,Sim,Sim
102865,São Paulo,2790,Sim,Sim,Não,Não
102866,São Paulo,262,Sim,Não,Não,Sim
102869,São Paulo,300,Sim,Não,Não,Não
102870,São Paulo,2000,Sim,Não,Não,Não
102871,São Paulo,2100,Sim,Sim,Não,Não
102872,São Paulo,1194,Sim,Não,Sim,Sim
102873,São Paulo,1325,Sim,Não,Sim,Sim
102874,São Paulo,800,Sim,Sim,Não,Não
102875,São Paulo,600,Sim,Sim,Não,Não
102877,São Paulo,1125,Sim,Não,Não,Não
102878,São Paulo,300,Sim,Não,Não,Sim
102879,São Paulo,1060,Sim,Não,Não,Não
102881,São Paulo,833,Sim,Não,Não,Não
102883,São Paulo,822,Sim,Sim,Não,Não
102884,São Paulo,596,Sim,Não,Não,Sim
102885,São Paulo,200,Sim,Sim,Não,Não
102887,São Paulo,1433,Sim,Não,Não,Não
102891,São Paulo,650,Sim,Sim,Não,Sim
102893,São Paulo,1650,Sim,Não,Não,Sim
102899,São Paulo,1066,Sim,Não,Não,Sim
102900,São Paulo,2166,Sim,Não,Não,Não
102901,São Paulo,5000,Sim,Não,Não,Não
102902,São Paulo,675,Sim,Não,Não,Sim
102904,São Paulo,2048,Sim,Não,Não,Não
102906,São Paulo,1687,Sim,Não,Não,Não
102907,São Paulo,8625,Sim,Não,Não,Sim
102909,São Paulo,1375,Sim,Não,Não,Não
102910,São Paulo,6000,Sim,Não,Não,Não
102911,São Paulo,8000,Sim,Não,Não,Sim
102912,São Paulo,2994,Sim,Não,Não,Não
102914,São Paulo,1262,Sim,Não,Não,Não
102915,São Paulo,1966,Sim,Não,Não,Não
102917,São Paulo,725,Sim,Não,Não,Não
102919,São Paulo,2050,Sim,Não,Não,Não
102920,São Paulo,333,Sim,Não,Não,Não
102921,São Paulo,1530,Sim,Não,Não,Não
102922,São Paulo,5500,Sim,Não,Não,Não
102924,São Paulo,3750,Sim,Não,Não,Não
102925,São Paulo,1125,Sim,Não,Não,Não
102926,São Paulo,2350,Sim,Não,Não,Não
102927,São Paulo,717,Sim,Sim,Não,Não
102930,São Paulo,1250,Sim,Não,Não,Não
102931,São Paulo,1000,Sim,Não,Não,Não
102932,São Paulo,1300,Sim,Não,Não,Não
102933,São Paulo,2350,Sim,Não,Não,Sim
102934,São Paulo,2166,Sim,Não,Não,Não
102935,São Paulo,8350,Sim,Não,Não,Não
102938,São Paulo,2900,Sim,Não,Não,Não
102939,São Paulo,260,Sim,Não,Sim,Sim
102940,São Paulo,628,Sim,Não,Não,Não
102943,São Paulo,1750,Sim,Não,Não,Não
102944,São Paulo,700,Sim,Sim,Não,Não
102945,São Paulo,375,Sim,Não,Não,Não
102950,São Paulo,1733,Sim,Não,Não,Sim
102951,São Paulo,2900,Sim,Não,Não,Não
102952,São Paulo,812,Sim,Não,Não,Sim
102953,São Paulo,4000,Sim,Não,Não,Sim
102956,São Paulo,2375,Sim,Não,Não,Não
102957,São Paulo,1205,Sim,Não,Não,Não
102958,São Paulo,1250,Sim,Não,Não,Sim
102959,São Paulo,1576,Sim,Não,Sim,Sim
102960,São Paulo,2666,Sim,Não,Não,Não
102966,São Paulo,1133,Sim,Não,Não,Não
102970,São Paulo,3000,Sim,Não,Sim,Não
102974,São Paulo,1866,Sim,Não,Não,Não
102975,São Paulo,1320,Sim,Não,Não,Não
102977,São Paulo,750,Sim,Não,Não,Não
102978,São Paulo,5500,Sim,Não,Não,Não
102979,São Paulo,1429,Sim,Não,Não,Não
102980,São Paulo,3150,Sim,Não,Sim,Não
102981,São Paulo,2500,Sim,Não,Não,Não
102982,São Paulo,1000,Sim,Não,Sim,Não
102983,São Paulo,2670,Sim,Não,Sim,Sim
102984,São Paulo,2833,Sim,Não,Não,Não
102985,São Paulo,6300,Sim,Não,Não,Não
102987,São Paulo,3000,Sim,Não,Não,Não
102990,São Paulo,2300,Sim,Não,Não,Não
102991,São Paulo,5800,Sim,Não,Não,Não
102992,São Paulo,2650,Sim,Não,Não,Não
102994,São Paulo,2333,Sim,Não,Não,Não
102996,São Paulo,2550,Sim,Não,Não,Não
102997,São Paulo,2277,Sim,Não,Não,Não
102999,São Paulo,333,Sim,Não,Sim,Sim
103001,São Paulo,6666,Sim,Não,Não,Sim
103002,São Paulo,3100,Sim,Não,Não,Não
103004,São Paulo,5250,Sim,Não,Não,Não
103005,São Paulo,825,Sim,Não,Não,Sim
103006,São Paulo,3750,Sim,Não,Não,Sim
103007,São Paulo,4500,Sim,Não,Sim,Sim
103008,São Paulo,1735,Sim,Não,Sim,Sim
103009,São Paulo,750,Sim,Não,Sim,Sim
103010,São Paulo,2150,Sim,Não,Não,Não
103012,São Paulo,1925,Sim,Não,Não,Não
103014,São Paulo,1125,Sim,Não,Não,Não
103015,São Paulo,2233,Sim,Não,Não,Não
103018,São Paulo,979,Sim,Não,Não,Não
103019,São Paulo,2000,Sim,Sim,Não,Não
103020,São Paulo,893,Sim,Não,Não,Não
103021,São Paulo,857,Sim,Não,Não,Não
103022,São Paulo,605,Sim,Não,Não,Não
103026,São Paulo,1216,Sim,Não,Não,Não
103028,São Paulo,807,Sim,Não,Não,Não
103029,São Paulo,1680,Sim,Não,Não,Não
103030,São Paulo,1469,Sim,Não,Não,Não
103034,São Paulo,1250,Sim,Não,Não,Não
103035,São Paulo,1250,Sim,Não,Sim,Sim
103041,São Paulo,1600,Sim,Não,Não,Não
103043,São Paulo,5900,Sim,Não,Não,Não
103045,São Paulo,1666,Sim,Não,Não,Não
103046,São Paulo,13000,Sim,Não,Não,Não
103048,São Paulo,1375,Sim,Não,Não,Não
103049,São Paulo,800,Sim,Não,Não,Não
103051,São Paulo,2920,Sim,Não,Não,Não
103052,São Paulo,2100,Sim,Não,Não,Não
103054,São Paulo,750,Sim,Não,Não,Não
103056,São Paulo,5000,Sim,Não,Sim,Não
103057,São Paulo,1100,Sim,Não,Não,Não
103058,São Paulo,1350,Sim,Não,Sim,Não
103059,São Paulo,2800,Sim,Não,Não,Não
103065,São Paulo,2000,Sim,Não,Não,Não
103067,São Paulo,1833,Sim,Não,Não,Não
103068,São Paulo,1525,Sim,Não,Sim,Não
103070,São Paulo,1500,Sim,Não,Não,Sim
103071,São Paulo,4500,Sim,Não,Não,Sim
103074,São Paulo,1103,Sim,Não,Não,Sim
103076,São Paulo,650,Sim,Não,Não,Não
103077,São Paulo,1576,Sim,Não,Sim,Sim
103079,São Paulo,20000,Sim,Não,Não,Sim
103081,São Paulo,3200,Sim,Sim,Sim,Sim
103082,São Paulo,8510,Sim,Não,Sim,Sim
103085,São Paulo,8500,Sim,Não,Não,Sim
103088,São Paulo,2091,Sim,Não,Não,Sim
103092,São Paulo,1182,Sim,Não,Sim,Sim
103100,São Paulo,1700,Sim,Sim,Não,Sim
103101,São Paulo,1900,Sim,Não,Não,Não
103102,São Paulo,1500,Sim,Não,Não,Não
103103,São Paulo,6000,Sim,Não,Não,Não
103104,São Paulo,1950,Sim,Não,Não,Não
103107,São Paulo,3225,Sim,Não,Não,Não
103108,São Paulo,3212,Sim,Não,Não,Não
103109,São Paulo,5000,Sim,Não,Não,Não
103110,São Paulo,5466,Sim,Não,Não,Não
103111,São Paulo,2400,Sim,Sim,Não,Sim
103113,São Paulo,15500,Sim,Não,Não,Não
103115,São Paulo,1250,Sim,Não,Sim,Sim
103117,São Paulo,625,Sim,Sim,Não,Não
103119,São Paulo,1750,Sim,Sim,Não,Não
103121,São Paulo,446,Sim,Sim,Não,Não
103125,São Paulo,637,Sim,Sim,Não,Não
103126,São Paulo,550,Sim,Não,Não,Não
103127,São Paulo,781,Sim,Sim,Não,Não
103128,São Paulo,398,Sim,Não,Não,Não
103130,São Paulo,197,Sim,Não,Não,Não
103131,São Paulo,800,Sim,Não,Não,Não
103135,São Paulo,666,Sim,Sim,Não,Não
103137,São Paulo,400,Sim,Não,Não,Não
103139,São Paulo,530,Sim,Não,Não,Não
103142,São Paulo,1091,Sim,Sim,Não,Não
103145,São Paulo,600,Sim,Não,Não,Não
103147,São Paulo,3000,Sim,Sim,Não,Não
103150,São Paulo,3333,Sim,Não,Não,Não
103151,São Paulo,3500,Sim,Não,Não,Não
103152,São Paulo,4666,Sim,Não,Não,Não
103153,São Paulo,3500,Sim,Não,Não,Não
103154,São Paulo,2500,Sim,Não,Não,Não
103155,São Paulo,2500,Sim,Não,Não,Não
103157,São Paulo,2833,Sim,Sim,Não,Não
103158,São Paulo,666,Sim,Não,Não,Não
103159,São Paulo,1825,Sim,Não,Não,Não
103160,São Paulo,3000,Sim,Não,Não,Não
103161,São Paulo,4000,Sim,Não,Não,Não
103163,São Paulo,400,Sim,Não,Não,Não
103164,São Paulo,7800,Sim,Não,Não,Não
103165,São Paulo,2394,Sim,Não,Não,Não
103167,São Paulo,9500,Sim,Não,Não,Não
103172,São Paulo,4000,Sim,Não,Não,Não
103174,São Paulo,1538,Sim,Não,Não,Não
103176,São Paulo,4666,Sim,Não,Não,Não
103177,São Paulo,4333,Sim,Não,Não,Não
103178,São Paulo,1400,Sim,Não,Não,Não
103179,São Paulo,6750,Sim,Não,Não,Não
103180,São Paulo,2750,Sim,Não,Não,Não
103181,São Paulo,1666,Sim,Não,Não,Não
103183,São Paulo,7056,Sim,Não,Não,Não
103184,São Paulo,2500,Sim,Não,Sim,Não
103185,São Paulo,1100,Sim,Não,Não,Não
103186,São Paulo,350,Sim,Não,Sim,Não
103187,São Paulo,1900,Sim,Não,Não,Não
103188,São Paulo,1000,Sim,Sim,Não,Não
103189,São Paulo,5000,Sim,Não,Não,Não
103190,São Paulo,5250,Sim,Não,Não,Não
103191,São Paulo,1788,Sim,Não,Não,Não
103194,São Paulo,225,Sim,Sim,Não,Não
103195,São Paulo,350,Sim,Sim,Não,Não
103196,São Paulo,788,Sim,Sim,Sim,Não
103198,São Paulo,2433,Sim,Não,Não,Não
103199,São Paulo,3500,Sim,Não,Não,Não
103201,São Paulo,866,Sim,Sim,Não,Não
103202,São Paulo,266,Sim,Sim,Não,Não
103205,São Paulo,236,Sim,Sim,Não,Não
103208,São Paulo,725,Sim,Sim,Não,Não
103209,São Paulo,466,Sim,Sim,Não,Não
103212,São Paulo,542,Sim,Não,Não,Não
103214,São Paulo,596,Sim,Não,Não,Não
103215,São Paulo,660,Sim,Não,Não,Não
103217,São Paulo,500,Sim,Não,Não,Não
103218,São Paulo,495,Sim,Não,Não,Não
103220,São Paulo,766,Sim,Não,Não,Não
103221,São Paulo,880,Sim,Não,Não,Não
103222,São Paulo,500,Sim,Não,Não,Não
103223,São Paulo,1494,Sim,Não,Sim,Sim
103224,São Paulo,9000,Sim,Não,Não,Não
103225,São Paulo,9150,Sim,Sim,Não,Não
103226,São Paulo,1894,Sim,Não,Não,Não
103227,São Paulo,9100,Sim,Não,Não,Não
103228,São Paulo,3250,Sim,Não,Não,Não
103229,São Paulo,5000,Sim,Não,Não,Não
103230,São Paulo,2500,Sim,Não,Não,Não
103232,São Paulo,3075,Sim,Não,Não,Não
103233,São Paulo,1650,Sim,Não,Não,Não
103234,São Paulo,1375,Sim,Não,Não,Não
103235,São Paulo,422,Sim,Não,Não,Não
103236,São Paulo,5141,Sim,Não,Não,Não
103237,São Paulo,750,Sim,Não,Não,Não
103238,São Paulo,2000,Sim,Não,Não,Não
103240,São Paulo,3500,Sim,Não,Não,Não
103242,São Paulo,1700,Sim,Não,Não,Não
103243,São Paulo,1750,Sim,Não,Não,Não
103245,São Paulo,447,Sim,Não,Sim,Sim
103246,São Paulo,1894,Sim,Não,Sim,Sim
103247,São Paulo,1300,Sim,Não,Não,Não
103248,São Paulo,1250,Sim,Não,Não,Sim
103249,São Paulo,1529,Sim,Não,Não,Não
103250,São Paulo,1625,Sim,Não,Não,Não
103252,São Paulo,633,Sim,Não,Sim,Sim
103253,São Paulo,1000,Sim,Não,Não,Não
103254,São Paulo,642,Sim,Não,Não,Não
103256,São Paulo,1144,Sim,Não,Não,Não
103257,São Paulo,719,Sim,Não,Não,Não
103258,São Paulo,1700,Sim,Não,Não,Não
103259,São Paulo,5000,Sim,Não,Sim,Sim
103260,São Paulo,1000,Sim,Não,Não,Não
103262,São Paulo,1500,Sim,Não,Não,Não
103263,São Paulo,2550,Sim,Não,Não,Não
103265,São Paulo,2800,Sim,Não,Não,Não
103266,São Paulo,1800,Sim,Não,Não,Não
103267,São Paulo,2590,Sim,Não,Não,Não
103268,São Paulo,2280,Sim,Não,Não,Não
103269,São Paulo,5894,Sim,Não,Sim,Não
103270,São Paulo,2166,Sim,Não,Não,Não
103271,São Paulo,6000,Sim,Não,Não,Não
103272,São Paulo,3000,Sim,Não,Sim,Não
103273,São Paulo,875,Sim,Não,Não,Não
103274,São Paulo,1733,Sim,Não,Não,Sim
103275,São Paulo,1100,Sim,Não,Não,Não
103276,São Paulo,3000,Sim,Não,Sim,Não
103279,São Paulo,750,Sim,Não,Não,Não
103280,São Paulo,715,Sim,Não,Não,Não
103281,São Paulo,1600,Sim,Não,Sim,Não
103283,São Paulo,1314,Sim,Não,Não,Não
103284,São Paulo,280,Sim,Sim,Não,Sim
103286,São Paulo,1466,Sim,Não,Não,Não
103287,São Paulo,317,Sim,Sim,Não,Sim
103289,São Paulo,864,Sim,Sim,Não,Sim
103291,São Paulo,872,Sim,Sim,Não,Sim
103292,São Paulo,666,Sim,Sim,Não,Sim
103293,São Paulo,560,Sim,Não,Não,Sim
103294,São Paulo,1600,Sim,Sim,Não,Sim
103296,São Paulo,525,Sim,Sim,Não,Sim
103297,São Paulo,394,Sim,Não,Não,Sim
103299,São Paulo,684,Sim,Não,Não,Não
103301,São Paulo,216,Sim,Sim,Não,Não
103303,São Paulo,1500,Sim,Não,Não,Não
103304,São Paulo,1350,Sim,Sim,Não,Não
103307,São Paulo,225,Sim,Não,Não,Não
103309,São Paulo,671,Sim,Sim,Não,Não
103310,São Paulo,530,Sim,Sim,Não,Não
103311,São Paulo,1966,Sim,Não,Não,Não
103312,São Paulo,729,Sim,Sim,Não,Não
103313,São Paulo,640,Sim,Não,Não,Não
103314,São Paulo,333,Sim,Sim,Não,Não
103315,São Paulo,1283,Sim,Sim,Não,Não
103316,São Paulo,357,Sim,Não,Não,Não
103317,São Paulo,1125,Sim,Sim,Não,Não
103318,São Paulo,800,Sim,Não,Não,Não
103320,São Paulo,1094,Sim,Sim,Não,Não
103323,São Paulo,340,Sim,Sim,Não,Não
103325,São Paulo,1666,Sim,Não,Não,Sim
103327,São Paulo,450,Sim,Sim,Não,Não
103329,São Paulo,1000,Sim,Não,Não,Não
103331,São Paulo,897,Sim,Sim,Não,Sim
103332,São Paulo,783,Sim,Não,Não,Não
103333,São Paulo,1250,Sim,Não,Não,Não
103334,São Paulo,1147,Sim,Não,Não,Sim
103335,São Paulo,700,Sim,Não,Não,Sim
103336,São Paulo,894,Sim,Não,Não,Sim
103338,São Paulo,1500,Sim,Sim,Não,Não
103342,São Paulo,283,Sim,Não,Sim,Sim
103343,São Paulo,200,Sim,Não,Não,Sim
103344,São Paulo,1050,Sim,Sim,Não,Não
103345,São Paulo,880,Sim,Não,Não,Sim
103346,São Paulo,3250,Sim,Não,Não,Não
103347,São Paulo,6366,Sim,Não,Não,Não
103348,São Paulo,1333,Sim,Não,Não,Não
103349,São Paulo,1966,Sim,Não,Não,Não
103352,São Paulo,1000,Sim,Não,Não,Não
103353,São Paulo,3894,Sim,Não,Não,Não
103354,São Paulo,925,Sim,Não,Não,Não
103355,São Paulo,6000,Sim,Não,Não,Não
103356,São Paulo,3666,Sim,Não,Não,Não
103357,São Paulo,875,Sim,Não,Sim,Sim
103358,São Paulo,2350,Sim,Sim,Não,Não
103360,São Paulo,1800,Sim,Não,Não,Não
103361,São Paulo,1000,Sim,Não,Sim,Sim
103362,São Paulo,500,Sim,Não,Não,Não
103363,São Paulo,2400,Sim,Não,Não,Não
103365,São Paulo,5375,Sim,Não,Não,Não
103367,São Paulo,2166,Sim,Não,Não,Não
103368,São Paulo,900,Sim,Não,Não,Não
103369,São Paulo,3825,Sim,Não,Não,Não
103370,São Paulo,3000,Sim,Não,Não,Não
103371,São Paulo,1833,Sim,Não,Não,Não
103372,São Paulo,3750,Sim,Não,Não,Não
103373,São Paulo,4300,Sim,Sim,Não,Não
103374,São Paulo,3500,Sim,Não,Não,Não
103375,São Paulo,1250,Sim,Não,Não,Não
103376,São Paulo,1625,Sim,Não,Não,Não
103377,São Paulo,1975,Sim,Não,Não,Não
103378,São Paulo,3000,Sim,Não,Não,Não
103380,São Paulo,1097,Sim,Não,Não,Não
103383,São Paulo,833,Sim,Não,Não,Não
103384,São Paulo,2850,Sim,Não,Sim,Sim
103385,São Paulo,1950,Sim,Sim,Não,Sim
103386,São Paulo,3500,Sim,Não,Não,Não
103387,São Paulo,3250,Sim,Não,Não,Não
103391,São Paulo,2333,Sim,Não,Não,Não
103392,São Paulo,900,Sim,Não,Sim,Sim
103393,São Paulo,850,Sim,Não,Não,Não
103394,São Paulo,900,Sim,Não,Não,Não
103396,São Paulo,1533,Sim,Não,Não,Não
103398,São Paulo,1200,Sim,Sim,Não,Não
103399,São Paulo,2370,Sim,Não,Não,Não
103400,São Paulo,1200,Sim,Não,Não,Não
103402,São Paulo,1633,Sim,Não,Não,Não
103403,São Paulo,1800,Sim,Não,Não,Não
103405,São Paulo,1400,Sim,Não,Não,Não
103408,São Paulo,800,Sim,Não,Não,Não
103409,São Paulo,1125,Sim,Não,Não,Não
103410,São Paulo,1075,Sim,Não,Não,Não
103411,São Paulo,500,Sim,Não,Não,Não
103412,São Paulo,100,Sim,Não,Não,Não
103414,São Paulo,800,Sim,Não,Não,Não
103417,São Paulo,875,Sim,Não,Não,Não
103418,São Paulo,1756,Sim,Não,Sim,Sim
103421,São Paulo,496,Sim,Não,Não,Não
103422,São Paulo,833,Sim,Não,Não,Não
103424,São Paulo,394,Sim,Não,Não,Não
103426,São Paulo,8000,Sim,Sim,Não,Não
103428,São Paulo,600,Sim,Não,Não,Não
103429,São Paulo,1375,Sim,Não,Não,Não
103433,São Paulo,1333,Sim,Não,Não,Não
103434,São Paulo,440,Sim,Sim,Não,Não
103436,São Paulo,1550,Sim,Não,Sim,Sim
103439,São Paulo,394,Sim,Sim,Não,Sim
103440,São Paulo,1333,Sim,Não,Não,Sim
103441,São Paulo,1144,Sim,Não,Não,Sim
103442,São Paulo,2300,Sim,Não,Não,Sim
103445,São Paulo,2500,Sim,Não,Não,Sim
103448,São Paulo,437,Sim,Sim,Não,Não
103449,São Paulo,1297,Sim,Sim,Não,Sim
103450,São Paulo,1833,Sim,Não,Não,Não
103455,São Paulo,419,Sim,Não,Não,Não
103456,São Paulo,698,Sim,Sim,Não,Não
103463,São Paulo,199,Sim,Sim,Não,Não
103464,São Paulo,341,Sim,Sim,Não,Não
103465,São Paulo,4000,Sim,Não,Não,Não
103466,São Paulo,4450,Sim,Não,Não,Não
103468,São Paulo,3625,Sim,Não,Não,Não
103470,São Paulo,4060,Sim,Não,Não,Não
103471,São Paulo,6666,Sim,Não,Não,Não
103472,São Paulo,1450,Sim,Não,Não,Não
103473,São Paulo,6300,Sim,Não,Não,Não
103474,São Paulo,25233,Sim,Não,Não,Não
103475,São Paulo,4000,Sim,Não,Não,Não
103476,São Paulo,14450,Sim,Não,Não,Não
103477,São Paulo,3000,Sim,Não,Não,Não
103478,São Paulo,962,Sim,Não,Não,Não
103480,São Paulo,2833,Sim,Não,Não,Não
103481,São Paulo,3200,Sim,Não,Não,Não
103482,São Paulo,2350,Sim,Não,Sim,Não
103483,São Paulo,2900,Sim,Não,Não,Não
103484,São Paulo,3571,Sim,Não,Não,Não
103486,São Paulo,3650,Sim,Não,Não,Não
103487,São Paulo,3333,Sim,Não,Não,Não
103489,São Paulo,6000,Sim,Não,Não,Não
103490,São Paulo,789,Sim,Não,Não,Não
103491,São Paulo,1496,Sim,Sim,Não,Não
103492,São Paulo,5000,Sim,Não,Não,Sim
103493,São Paulo,6250,Sim,Não,Não,Não
103495,São Paulo,2033,Sim,Não,Não,Não
103496,São Paulo,400,Sim,Não,Não,Não
103497,São Paulo,500,Sim,Não,Não,Não
103498,São Paulo,394,Sim,Não,Não,Não
103499,São Paulo,766,Sim,Não,Sim,Não
103500,São Paulo,987,Sim,Não,Não,Não
103502,São Paulo,3333,Sim,Não,Não,Não
103504,São Paulo,650,Sim,Não,Sim,Sim
103505,São Paulo,950,Sim,Sim,Não,Não
103506,São Paulo,3120,Sim,Não,Não,Não
103509,São Paulo,1044,Sim,Não,Não,Não
103510,São Paulo,966,Sim,Não,Não,Não
103511,São Paulo,1540,Sim,Não,Não,Não
103514,São Paulo,506,Sim,Não,Não,Não
103515,São Paulo,1200,Sim,Não,Não,Não
103517,São Paulo,2350,Sim,Não,Não,Não
103518,São Paulo,4100,Sim,Não,Não,Não
103519,São Paulo,2750,Sim,Não,Não,Não
103520,São Paulo,775,Sim,Não,Não,Não
103521,São Paulo,796,Sim,Não,Não,Não
103522,São Paulo,394,Sim,Sim,Não,Não
103523,São Paulo,1500,Sim,Não,Não,Sim
103524,São Paulo,10210,Sim,Não,Não,Não
103526,São Paulo,3066,Sim,Não,Não,Não
103527,São Paulo,2500,Sim,Não,Não,Sim
103529,São Paulo,5500,Sim,Não,Não,Não
103532,São Paulo,2697,Sim,Não,Não,Não
103533,São Paulo,2000,Sim,Não,Não,Não
103534,São Paulo,666,Sim,Não,Não,Não
103537,São Paulo,4692,Sim,Não,Não,Não
103540,São Paulo,500,Sim,Não,Não,Não
103541,São Paulo,6150,Sim,Não,Não,Não
103544,São Paulo,1576,Sim,Sim,Não,Não
103545,São Paulo,2400,Sim,Não,Não,Não
103546,São Paulo,1717,Sim,Não,Não,Não
103547,São Paulo,5000,Sim,Não,Não,Não
103548,São Paulo,1200,Sim,Não,Não,Não
103551,São Paulo,3000,Sim,Não,Não,Não
103552,São Paulo,2050,Sim,Não,Não,Não
