,UF,V02322,V0210,V4105,V0232
1121,11,2.0,2.0,1,2.0
1122,11,2.0,2.0,1,2.0
1127,11,4.0,2.0,8,4.0
1130,11,2.0,2.0,8,2.0
1136,11,2.0,2.0,8,2.0
1143,11,2.0,2.0,1,4.0
1145,11,2.0,2.0,1,4.0
1148,11,2.0,2.0,1,4.0
1149,11,2.0,2.0,1,4.0
1163,11,2.0,2.0,1,2.0
1166,11,2.0,2.0,1,2.0
1175,11,2.0,2.0,1,4.0
1179,11,2.0,2.0,8,2.0
1215,11,2.0,2.0,1,2.0
1218,11,2.0,2.0,1,2.0
1220,11,2.0,2.0,1,2.0
1221,11,2.0,2.0,1,2.0
1224,11,2.0,2.0,1,2.0
1227,11,2.0,2.0,1,2.0
1228,11,2.0,2.0,1,2.0
1232,11,2.0,2.0,1,2.0
1233,11,2.0,2.0,1,2.0
1236,11,2.0,2.0,1,2.0
1240,11,2.0,2.0,1,2.0
1241,11,2.0,2.0,1,2.0
1243,11,2.0,2.0,1,2.0
1244,11,4.0,2.0,1,4.0
1245,11,2.0,2.0,1,2.0
1249,11,2.0,2.0,1,2.0
1251,11,2.0,2.0,1,2.0
1253,11,2.0,2.0,1,2.0
1258,11,2.0,2.0,1,2.0
1265,11,2.0,2.0,1,2.0
1266,11,2.0,2.0,1,2.0
1270,11,2.0,2.0,1,2.0
1271,11,2.0,2.0,1,2.0
1277,11,2.0,2.0,1,2.0
1279,11,2.0,2.0,1,2.0
1281,11,2.0,2.0,1,2.0
1282,11,2.0,2.0,1,2.0
1283,11,2.0,2.0,1,2.0
1290,11,2.0,2.0,1,2.0
1298,11,2.0,2.0,1,4.0
1302,11,2.0,2.0,1,2.0
1303,11,2.0,2.0,1,2.0
1305,11,4.0,2.0,1,4.0
1309,11,4.0,2.0,1,4.0
1311,11,2.0,2.0,1,2.0
1314,11,2.0,2.0,1,2.0
1317,11,2.0,2.0,1,2.0
1319,11,2.0,2.0,1,2.0
1322,11,2.0,2.0,1,2.0
1324,11,2.0,2.0,1,2.0
1325,11,2.0,2.0,1,2.0
1334,11,2.0,2.0,1,2.0
1335,11,2.0,2.0,1,2.0
1337,11,2.0,2.0,1,2.0
1338,11,2.0,2.0,1,2.0
1341,11,2.0,2.0,1,2.0
1342,11,2.0,2.0,1,2.0
1346,11,2.0,2.0,1,2.0
1355,11,2.0,2.0,1,2.0
1364,11,2.0,2.0,1,2.0
1365,11,2.0,2.0,1,2.0
1366,11,2.0,2.0,1,2.0
1367,11,2.0,2.0,1,2.0
1368,11,2.0,2.0,1,2.0
1369,11,2.0,2.0,1,2.0
1370,11,2.0,2.0,1,2.0
1371,11,2.0,2.0,1,2.0
1373,11,2.0,2.0,1,2.0
1376,11,2.0,2.0,1,2.0
1377,11,2.0,2.0,1,2.0
1380,11,2.0,2.0,1,2.0
1381,11,2.0,2.0,1,2.0
1384,11,2.0,2.0,1,2.0
1386,11,2.0,2.0,1,2.0
1390,11,2.0,2.0,1,2.0
1392,11,2.0,2.0,1,2.0
1394,11,2.0,2.0,1,2.0
1398,11,2.0,2.0,1,2.0
1402,11,2.0,2.0,1,2.0
1406,11,2.0,2.0,1,2.0
1413,11,2.0,2.0,1,2.0
1417,11,2.0,2.0,1,2.0
1418,11,2.0,2.0,1,2.0
1420,11,2.0,2.0,1,2.0
1421,11,2.0,2.0,1,2.0
1422,11,2.0,2.0,1,2.0
1423,11,2.0,2.0,1,2.0
1424,11,2.0,2.0,1,2.0
1425,11,2.0,2.0,1,2.0
1426,11,2.0,2.0,1,4.0
1429,11,2.0,2.0,1,2.0
1430,11,2.0,2.0,1,2.0
1432,11,2.0,2.0,1,2.0
1448,11,4.0,2.0,1,4.0
1453,11,2.0,2.0,1,2.0
1455,11,2.0,2.0,1,2.0
1459,11,4.0,2.0,1,4.0
1460,11,2.0,2.0,1,2.0
1463,11,2.0,2.0,1,2.0
1465,11,4.0,2.0,1,4.0
1466,11,4.0,2.0,1,4.0
1467,11,4.0,2.0,1,4.0
1469,11,2.0,2.0,1,2.0
1470,11,2.0,2.0,1,2.0
1472,11,2.0,2.0,1,2.0
1473,11,2.0,2.0,1,2.0
1475,11,2.0,2.0,1,2.0
1479,11,2.0,2.0,1,2.0
1481,11,2.0,2.0,1,2.0
1482,11,2.0,2.0,1,2.0
1488,11,2.0,2.0,1,2.0
1489,11,2.0,2.0,1,2.0
1492,11,2.0,2.0,1,4.0
1495,11,2.0,2.0,1,2.0
1501,11,2.0,2.0,1,2.0
1503,11,2.0,2.0,1,2.0
1505,11,2.0,2.0,1,2.0
1509,11,2.0,2.0,1,2.0
1511,11,2.0,2.0,1,2.0
1517,11,4.0,2.0,1,4.0
1524,11,2.0,2.0,1,2.0
1528,11,2.0,2.0,1,2.0
1531,11,2.0,2.0,1,2.0
1533,11,4.0,2.0,1,4.0
1535,11,4.0,2.0,1,4.0
1536,11,2.0,2.0,1,2.0
1537,11,2.0,2.0,1,2.0
1539,11,2.0,2.0,1,2.0
1542,11,2.0,2.0,1,2.0
1543,11,2.0,2.0,1,2.0
1544,11,2.0,2.0,1,2.0
1546,11,2.0,2.0,1,2.0
1548,11,2.0,2.0,1,2.0
1550,11,2.0,2.0,1,2.0
1554,11,2.0,2.0,1,2.0
1560,11,2.0,2.0,1,4.0
1561,11,2.0,2.0,1,2.0
1563,11,2.0,2.0,1,2.0
1566,11,2.0,2.0,1,2.0
1569,11,2.0,2.0,1,2.0
1578,11,4.0,2.0,1,4.0
1579,11,2.0,2.0,1,2.0
1587,11,4.0,2.0,1,4.0
1592,11,2.0,2.0,1,2.0
1593,11,4.0,2.0,1,4.0
1600,11,2.0,2.0,1,2.0
1601,11,2.0,2.0,1,2.0
1603,11,2.0,2.0,1,2.0
1604,11,2.0,2.0,1,2.0
1614,11,2.0,2.0,1,4.0
1615,11,2.0,2.0,1,2.0
1616,11,2.0,2.0,1,2.0
1617,11,2.0,2.0,1,2.0
1621,11,2.0,2.0,1,2.0
1623,11,4.0,2.0,1,4.0
1624,11,2.0,2.0,1,2.0
1628,11,2.0,2.0,1,2.0
1629,11,2.0,2.0,1,2.0
1635,11,2.0,4.0,1,2.0
1636,11,2.0,2.0,1,2.0
1637,11,2.0,2.0,1,2.0
1639,11,2.0,2.0,1,2.0
1640,11,2.0,2.0,1,2.0
1642,11,2.0,2.0,1,2.0
1647,11,2.0,2.0,1,2.0
1648,11,2.0,2.0,1,2.0
1650,11,2.0,2.0,1,2.0
1658,11,2.0,2.0,1,4.0
1674,11,2.0,2.0,1,2.0
1676,11,2.0,2.0,1,2.0
1679,11,2.0,2.0,1,2.0
1680,11,2.0,2.0,1,2.0
1681,11,2.0,2.0,1,2.0
1684,11,2.0,2.0,1,2.0
1697,11,2.0,2.0,1,2.0
1698,11,2.0,2.0,1,2.0
1701,11,4.0,2.0,1,4.0
1703,11,2.0,2.0,1,2.0
1704,11,2.0,2.0,1,2.0
1706,11,2.0,2.0,1,2.0
1710,11,2.0,2.0,1,2.0
1714,11,2.0,2.0,1,2.0
1715,11,2.0,2.0,1,2.0
